id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17232251,Rental unit in Montréal · ★4.84 · 1 bedroom · 1 bed · 1 bath,6178250,Michael,,Le Sud-Ouest,45.49238,-73.55948,Entire home/apt,66,1,43,2023-12-08,0.52,9,10,19,"294243, expires: 2024-11-30T20:24:45Z"
52314322,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,31962706,David,,Lachine,45.43644,-73.67708,Entire home/apt,77,32,7,2023-12-09,0.29,1,119,5,
25458975,Rental unit in Montréal · ★4.83 · 2 bedrooms · 2 beds · 1 bath,118735512,Anna,,Mercier-Hochelaga-Maisonneuve,45.55735,-73.53061,Entire home/apt,67,2,142,2023-12-01,2.11,6,136,42,"296159, expires: 2024-06-30"
46676340,Rental unit in Montréal · ★4.88 · 1 bedroom · 2 beds · 1 bath,128430021,Philippe,,Mercier-Hochelaga-Maisonneuve,45.54824,-73.5407,Entire home/apt,96,1,244,2023-12-08,6.80,14,145,76,"299588, expires: 2024-07-31"
52283483,Loft in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,423142109,David,,Ville-Marie,45.501678,-73.557693,Entire home/apt,249,1,3,2023-10-01,0.14,24,344,1,"306822, expires: 2024-11-30"
1028920611694316000,Rental unit in Montréal · ★New · 2 bedrooms · 3 beds · 1.5 baths,492298971,Bakan,,Ville-Marie,45.50244767885667,-73.5556468957649,Entire home/apt,119,2,0,,,11,302,0,"160672, expires: 2024-11-30"
1031233763111501323,Rental unit in Montréal · ★New · Studio · 1 bed · 1 bath,486618938,Mickael,,Verdun,45.45811179740276,-73.5665121201201,Entire home/apt,77,1,0,,,4,84,0,"315961, expires: 2024-10-12"
44369885,Home in Montréal · ★4.80 · 3 bedrooms · 4 beds · 1 bath,16441080,Well,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50445,-73.63173,Entire home/apt,115,31,5,2023-08-25,0.13,8,365,1,
50915419,Condo in Montréal · ★4.81 · 1 bedroom · 3 beds · 1 bath,144997247,Joelle,,Mercier-Hochelaga-Maisonneuve,45.54159511531755,-73.55116253984261,Entire home/apt,73,31,21,2023-10-22,0.86,2,318,10,
599906527438751280,Rental unit in Montréal · ★4.80 · 2 bedrooms · 3 beds · 1 bath,66115460,Maxime,,Ahuntsic-Cartierville,45.55748,-73.6672,Entire home/apt,115,2,82,2023-11-26,4.05,4,0,53,"300435, expires: 2024-07-31"
52217209,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,7983086,Amir,,Le Sud-Ouest,45.47289,-73.58888,Private room,32,31,14,2023-09-20,0.67,16,173,7,
20124933,Rental unit in Montréal · ★4.94 · 1 bedroom · 1 bed · 1 bath,7685881,Pat,,Ville-Marie,45.50132,-73.55706,Entire home/apt,210,31,140,2023-09-22,1.83,3,137,21,
37998270,Rental unit in Montréal · ★4.82 · 2 bedrooms · 6 beds · 1 bath,128430021,Philippe,,Mercier-Hochelaga-Maisonneuve,45.54875,-73.54295,Entire home/apt,102,1,454,2023-12-12,8.66,14,0,113,"299588, expires: 2024-07-31"
49886137,Rental unit in Montréal · ★4.86 · 3 bedrooms · 3 beds · 1 bath,314504703,Olga,,Le Sud-Ouest,45.45394,-73.58788,Entire home/apt,74,31,43,2023-11-12,1.38,3,76,8,
684947274115183543,Rental unit in Montréal · ★4.55 · 1 bedroom · 1 bed · 1 bath,467329167,Guillaume,,Mercier-Hochelaga-Maisonneuve,45.55314,-73.55403,Entire home/apt,59,31,22,2023-09-01,1.34,5,138,11,
49126708,Condo in Montréal · ★4.95 · 3 bedrooms · 3 beds · 1 bath,85882432,Shack,,LaSalle,45.41686,-73.63994,Entire home/apt,192,1,66,2023-11-23,3.95,1,233,57,"314424, expires: 2024-07-11"
1002039369092191095,Home in Montréal · ★4.14 · 1 bedroom · 1 bed · 2.5 baths,274170499,Seyed Rasool,,Ville-Marie,45.49686,-73.58826,Private room,51,1,7,2023-12-08,4.12,21,67,7,"315976, expires: 2024-10-11"
970853091170321427,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,7983086,Amir,,Le Sud-Ouest,45.47078986889744,-73.5905706972297,Entire home/apt,41,31,1,2023-11-17,1,16,106,1,
44431199,Rental unit in Montréal · ★4.70 · 1 bedroom · 1 bed · 1 bath,224865057,Sonder (Montreal),,Le Plateau-Mont-Royal,45.52471,-73.58261,Entire home/apt,181,2,90,2023-11-19,2.22,54,0,32,"300476, expires: 2024-10-31"
45316596,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,42122245,Solenn,,Mercier-Hochelaga-Maisonneuve,45.57276,-73.54193,Entire home/apt,73,31,7,2023-11-14,0.18,1,155,3,
7650803,Rental unit in Montréal · ★4.75 · 1 bedroom · 1 bed · 1 bath,1803138,MFS - Maria,,Ahuntsic-Cartierville,45.54237,-73.64542,Entire home/apt,70,32,4,2023-11-11,0.04,5,86,2,
19612057,Rental unit in Montréal · ★4.77 · Studio · 3 beds · 1 bath,137921345,Nacima & Kamal,,Saint-Léonard,45.58585,-73.58198,Entire home/apt,176,2,111,2023-10-13,1.42,7,290,12,"296468, expires: 2024-09-01T02:55:35Z"
32804374,Rental unit in Montréal · ★4.97 · 1 bedroom · 2 beds · 1 bath,91654939,Judith,,Villeray-Saint-Michel-Parc-Extension,45.54319,-73.63748,Entire home/apt,68,7,59,2023-02-01,1.04,1,108,3,"307782, expires: 2024-11-30"
745453926104084465,Loft in Montréal · ★4.89 · 1 bedroom · 1 bed · 1 bath,136791385,Sarah,,Mercier-Hochelaga-Maisonneuve,45.54568,-73.54175,Entire home/apt,105,2,35,2023-11-12,2.58,2,79,32,"310526, expires: 2024-06-30"
46638153,Rental unit in Montréal · ★4.79 · 1 bedroom · 2 beds · 1 bath,128430021,Philippe,,Mercier-Hochelaga-Maisonneuve,45.54825,-73.54099,Entire home/apt,96,1,284,2023-12-03,7.72,14,150,82,"299588, expires: 2024-07-31"
26847177,Rental unit in Montréal · ★4.92 · 1 bedroom · 1 bed · 1 bath,70058293,Mary & Jim,,Verdun,45.46438,-73.57578,Entire home/apt,59,31,89,2023-12-03,1.36,12,328,5,
669738127480494121,Serviced apartment in Montréal · ★5.0 · 2 bedrooms · 3 beds · 2 baths,436452089,Sam,,Mercier-Hochelaga-Maisonneuve,45.55298,-73.54923,Entire home/apt,199,2,30,2023-11-26,1.80,2,110,25,"299940, expires: 2024-09-30"
1426712,Rental unit in Montreal · ★4.74 · 2 bedrooms · 2 beds · 1 bath,7673547,Patrick,,Rosemont-La Petite-Patrie,45.55028,-73.58097,Entire home/apt,100,31,27,2023-09-29,0.21,1,310,1,
43524600,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,347277290,Julien,,Ville-Marie,45.52559,-73.55016,Entire home/apt,57,31,11,2023-01-11,0.28,2,30,1,
1041999214873508352,Rental unit in Montréal · ★New · Studio · 2 beds · 1 bath,315956014,Edward,,Ville-Marie,45.49685,-73.57978,Entire home/apt,30,31,0,,,13,140,0,
854476061730140991,Home in Montréal · ★5.0 · 2 bedrooms · 4 beds · 1.5 baths,106189982,Delphine,,Villeray-Saint-Michel-Parc-Extension,45.54609349578609,-73.63145772055293,Entire home/apt,256,4,5,2023-08-12,0.93,1,41,5,"312438, expires: 2024-03-29"
1009952787083068603,Rental unit in Montréal · ★New · 2 bedrooms · 2 beds · 1 bath,543235008,Siv-Ing,,Ville-Marie,45.5351922,-73.5531434,Entire home/apt,120,31,0,,,6,365,0,
